personId,firstName,lastName,PlayerName,birthdate,lastAttended,country,height,bodyWeight,guard,forward,center,draftYear,draftRound,draftNumber,
2,Byron,Scott,Byron Scott,28/3/1961,Arizona State,USA,76,205,TRUE,FALSE,FALSE,1983,1,4,
3,Grant,Long,Grant Long,12/3/1966,Eastern Michigan,USA,81,3,FALSE,FALSE,FALSE,1988,2,33,
7,Dan,Schayes,Dan Schayes,10/5/1959,Syracuse,USA,83,260,FALSE,FALSE,TRUE,1981,1,13,
9,Sedale,Threatt,Sedale Threatt,10/9/1961,West Virginia Tech,USA,74,185,TRUE,FALSE,FALSE,1983,6,139,
12,Chris,King,Chris King,24/7/1969,Wake Forest,USA,80,215,FALSE,TRUE,FALSE,1992,2,45,
15,Eric,Piatkowski,Eric Piatkowski,30/9/1970,Nebraska,USA,79,215,TRUE,TRUE,FALSE,1994,1,15,
17,Clyde,Drexler,Clyde Drexler,22/6/1962,Houston,USA,79,222,TRUE,FALSE,FALSE,1983,1,14,
21,Greg,Anthony,Greg Anthony,15/11/1967,UNLV,USA,73,180,TRUE,FALSE,FALSE,1991,1,12,
22,Rik,Smits,Rik Smits,23/8/1966,Marist,USA,88,265,FALSE,FALSE,TRUE,1988,1,2,
23,Dennis,Rodman,Dennis Rodman,13/5/1961,Southeastern Oklahoma State,USA,79,210,FALSE,TRUE,FALSE,1986,2,27,
24,Keith,Jennings,Keith Jennings,2/11/1968,East Tennessee State,USA,67,160,TRUE,FALSE,FALSE,-1,-1,-1,
26,Luc,Longley,Luc Longley,19/1/1969,New Mexico,USA,,,FALSE,FALSE,TRUE,1991,1,7,
28,Doug,West,Doug West,27/5/1967,Villanova,USA,,,TRUE,FALSE,FALSE,1989,2,38,
29,Jim,McIlvaine,Jim McIlvaine,30/7/1972,Marquette,USA,,,FALSE,FALSE,TRUE,1994,2,32,
30,Richard,Dumas,Richard Dumas,19/5/1969,Oklahoma State,USA,79,30,FALSE,TRUE,FALSE,1991,2,46,
31,Lorenzo,Williams,Lorenzo Williams,15/7/1969,Stetson,USA,81,200,FALSE,TRUE,FALSE,-1,-1,-1,
32,Clifford,Rozier,Clifford Rozier,31/10/1972,Louisville,USA,83,245,FALSE,FALSE,TRUE,1994,1,16,
35,Eric,Riley,Eric Riley,2/6/1970,Michigan,USA,84,245,FALSE,FALSE,TRUE,1993,2,33,
36,Sarunas,Marciulionis,Sarunas Marciulionis,13/6/1964,Statyba,Lithuania,77,200,TRUE,FALSE,FALSE,1987,6,127,
37,Greg,Graham,Greg Graham,26/11/1970,Indiana,USA,76,174,TRUE,FALSE,FALSE,1993,1,17,
38,Brad,Lohaus,Brad Lohaus,29/9/1964,Iowa,USA,83,230,FALSE,TRUE,TRUE,1987,2,45,
41,Anthony,Bonner,Anthony Bonner,8/6/1968,St. Louis,USA,80,230,FALSE,TRUE,FALSE,1990,1,23,
42,Monty,Williams,Monty Williams,8/10/1971,Notre Dame,USA,80,225,FALSE,TRUE,FALSE,1994,1,24,
43,Chris,Whitney,Chris Whitney,5/10/1971,Clemson,USA,72,175,TRUE,FALSE,FALSE,1993,2,47,
45,George,McCloud,George McCloud,27/5/1967,Florida State,USA,80,230,FALSE,TRUE,FALSE,1989,1,7,
46,Mike,Peplowski,Mike Peplowski,15/10/1970,Michigan State,USA,82,270,FALSE,FALSE,TRUE,1993,2,52,
47,Wayman,Tisdale,Wayman Tisdale,9/6/1964,Oklahoma,USA,81,260,FALSE,TRUE,FALSE,1985,1,2,
49,Gheorghe,Muresan,Gheorghe Muresan,14/2/1971,Pau Orthez,Romania,91,303,FALSE,FALSE,TRUE,1993,2,30,
51,Mahmoud,Abdul-Rauf,Mahmoud Abdul-Rauf,9/3/1969,Louisiana State,USA,73,51,TRUE,FALSE,FALSE,1990,1,3,
52,Micheal,Williams,Micheal Williams,23/7/1966,Baylor,USA,74,175,TRUE,FALSE,FALSE,1988,2,48,
53,Mario,Elie,Mario Elie,26/11/1963,American International,USA,77,225,TRUE,TRUE,FALSE,1985,7,160,
54,Dickey,Simpkins,Dickey Simpkins,6/4/1972,Providence,USA,,,FALSE,TRUE,FALSE,1994,1,21,
55,Marty,Conlon,Marty Conlon,19/1/1968,Providence,USA,82,224,FALSE,FALSE,TRUE,-1,-1,-1,
56,Gary,Payton,Gary Payton,23/7/1968,Oregon State,USA,76,190,TRUE,FALSE,FALSE,1990,1,2,
57,Doug,Christie,Doug Christie,9/5/1970,Pepperdine,USA,78,205,TRUE,TRUE,FALSE,1992,1,17,
61,Carl,Herrera,Carl Herrera,14/12/1966,Houston,USA,,,,,,1990,2,30,
63,Michael,Smith,Michael Smith,28/3/1972,Providence,USA,80,240,FALSE,TRUE,FALSE,1994,2,35,
64,Sam,Perkins,Sam Perkins,14/6/1961,North Carolina,USA,81,64,FALSE,TRUE,TRUE,1984,1,4,
65,Greg,Minor,Greg Minor,8/9/1971,Louisville,USA,78,210,TRUE,FALSE,FALSE,1994,1,25,
66,Marques,Bragg,Marques Bragg,24/3/1970,Providence,USA,80,230,FALSE,TRUE,FALSE,-1,-1,-1,
67,Tom,Hammonds,Tom Hammonds,27/3/1967,Georgia Tech,USA,,,FALSE,TRUE,FALSE,1989,1,9,
70,Steve,Kerr,Steve Kerr,27/9/1965,Arizona,USA,73,70,TRUE,FALSE,FALSE,1988,2,50,
71,Pooh,Richardson,Pooh Richardson,14/5/1966,UCLA,USA,73,180,TRUE,FALSE,FALSE,1989,1,10,
72,Kenny,Anderson,Kenny Anderson,9/10/1970,Georgia Tech,USA,73,168,TRUE,FALSE,FALSE,1991,1,2,
73,Hot Rod,Williams,Hot Rod Williams,9/8/1962,Tulane,USA,83,245,FALSE,FALSE,TRUE,1985,2,45,
74,Derrick,Phelps,Derrick Phelps,31/7/1972,North Carolina,USA,76,181,FALSE,TRUE,FALSE,-1,-1,-1,
76,Cedric,Ceballos,Cedric Ceballos,2/8/1969,California State-Fullerton,USA,79,76,FALSE,TRUE,FALSE,1990,2,48,
77,Doug,Overton,Doug Overton,3/8/1969,La Salle,USA,75,190,TRUE,FALSE,FALSE,1991,2,40,
78,LaSalle,Thompson,LaSalle Thompson,23/6/1961,Texas,USA,82,78,FALSE,FALSE,FALSE,1982,1,5,
80,Ken,Norman,Ken Norman,5/9/1964,Illinois,USA,80,215,FALSE,TRUE,FALSE,1987,1,19,
81,Jeff,Grayer,Jeff Grayer,17/12/1965,Iowa State,USA,77,210,TRUE,FALSE,FALSE,1988,1,13,
82,Bill,Wennington,Bill Wennington,26/4/1963,St. John's (NY),USA,84,245,FALSE,FALSE,TRUE,1985,1,16,
84,Latrell,Sprewell,Latrell Sprewell,8/9/1970,Alabama,USA,77,195,TRUE,FALSE,FALSE,1992,1,24,
85,Brent,Price,Brent Price,9/12/1968,Oklahoma,USA,73,85,TRUE,FALSE,FALSE,1992,2,32,
87,Dikembe,Mutombo,Dikembe Mutombo,25/6/1966,Georgetown,Congo,86,260,FALSE,FALSE,TRUE,1991,1,4,
88,Steve,Scheffler,Steve Scheffler,3/9/1967,Purdue,USA,81,250,FALSE,TRUE,FALSE,1990,2,39,
89,Nick,Van Exel,Nick Van Exel,27/11/1971,Cincinnati,USA,73,190,TRUE,FALSE,FALSE,1993,2,37,
93,Hubert,Davis,Hubert Davis,17/5/1970,North Carolina,USA,77,183,TRUE,FALSE,FALSE,1992,1,20,
95,Mark,Bryant,Mark Bryant,25/4/1965,Seton Hall,USA,81,250,FALSE,TRUE,FALSE,1988,1,21,
96,Detlef,Schrempf,Detlef Schrempf,21/1/1963,Washington,USA,82,235,FALSE,TRUE,FALSE,1985,1,8,
97,Ronnie,Grandison,Ronnie Grandison,9/7/1964,New Orleans,USA,78,220,FALSE,TRUE,FALSE,1987,5,100,
98,Nick,Anderson,Nick Anderson,20/1/1968,Illinois,USA,78,228,TRUE,TRUE,FALSE,1989,1,11,
100,Tim,Legler,Tim Legler,26/12/1966,La Salle,USA,76,200,TRUE,FALSE,FALSE,-1,-1,-1,
101,Scott,Skiles,Scott Skiles,5/3/1964,Michigan State,USA,73,180,TRUE,FALSE,FALSE,1986,1,22,
103,Todd,Day,Todd Day,7/1/1970,Arkansas,USA,,,,,,1992,1,8,
104,Benoit,Benjamin,Benoit Benjamin,22/11/1964,Creighton,USA,84,250,FALSE,FALSE,TRUE,1985,1,3,
