Player Name,Clean Name,From,To,Pos,Ht,Wt,Birth Date,Birth Date(TextToColumn),Birth_Year,RetireAge,Colleges,URL,player_id,birthday year,retire age,career length
Šarūnas Jasikevičius,Šarūnas Jasikevičius,2006,2007,G,4-Jun,195,3/5/1976,5/3/1976,1976,31,Maryland,https://www.basketball-reference.com/players/j/jasiksa01.html,jasiksa01,1976,31,1
Šarūnas Marčiulionis*,Šarūnas Marčiulionis,1990,1997,G,5-Jun,200,6/13/1964,13/6/1964,1964,33,,https://www.basketball-reference.com/players/m/marcisa01.html,marcisa01,1964,33,7
Kevin Willis,Kevin Willis,1985,2007,F-C,Jul-00,220,9/6/1962,6/9/1962,1962,45,Michigan State,https://www.basketball-reference.com/players/w/willike02.html,willike02,1962,45,22
A.J. Bramlett,A.J. Bramlett,2000,2000,C,10-Jun,227,1/10/1977,10/1/1977,1977,23,Arizona,https://www.basketball-reference.com/players/b/bramlaj01.html,bramlaj01,1977,23,0
A.J. English,A.J. English,1991,1992,G,3-Jun,175,7/11/1967,11/7/1967,1967,25,Virginia Union University,https://www.basketball-reference.com/players/e/engliaj01.html,engliaj01,1967,25,1
A.J. Green,A.J. Green,2023,2025,G,4-Jun,200,9/27/1999,27/9/1999,1999,26,University of Northern Iowa,https://www.basketball-reference.com/players/g/greenaj01.html,greenaj01,1999,26,2
A.J. Guyton,A.J. Guyton,2001,2003,G,1-Jun,180,2/12/1978,12/2/1978,1978,25,Indiana,https://www.basketball-reference.com/players/g/guytoaj01.html,guytoaj01,1978,25,2
A.J. Hammons,A.J. Hammons,2017,2017,C,Jul-00,260,8/27/1992,27/8/1992,1992,25,Purdue,https://www.basketball-reference.com/players/h/hammoaj01.html,hammoaj01,1992,25,0
A.J. Lawson,A.J. Lawson,2023,2025,G,6-Jun,179,7/15/2000,15/7/2000,2000,25,South Carolina,https://www.basketball-reference.com/players/l/lawsoaj01.html,lawsoaj01,2000,25,2
A.J. Price,A.J. Price,2010,2015,G,2-Jun,181,10/7/1986,7/10/1986,1986,29,UConn,https://www.basketball-reference.com/players/p/priceaj01.html,priceaj01,1986,29,5
A.J. Wynder,A.J. Wynder,1991,1991,G,2-Jun,180,9/11/1964,11/9/1964,1964,27,"UMass, Fairfield",https://www.basketball-reference.com/players/w/wyndeaj01.html,wyndeaj01,1964,27,0
A.W. Holt,A.W. Holt,1971,1971,F,7-Jun,210,8/26/1946,26/8/1946,1946,25,Jackson State University,https://www.basketball-reference.com/players/h/holtaw01.html,holtaw01,1946,25,0
Óscar Torres,Óscar Torres,2002,2003,F,6-Jun,210,12/18/1976,18/12/1976,1976,27,,https://www.basketball-reference.com/players/t/torreos01.html,torreos01,1976,27,1
Álex Abrines,Álex Abrines,2017,2019,G-F,6-Jun,200,8/1/1993,1/8/1993,1993,26,,https://www.basketball-reference.com/players/a/abrinal01.html,abrinal01,1993,26,2
Ángel Delgado,Ángel Delgado,2019,2019,C,10-Jun,245,11/20/1994,20/11/1994,1994,25,Seton Hall,https://www.basketball-reference.com/players/d/delgaan01.html,delgaan01,1994,25,0
Žan Tabak,Žan Tabak,1995,2001,C,Jul-00,245,6/15/1970,15/6/1970,1970,31,,https://www.basketball-reference.com/players/t/tabakza01.html,tabakza01,1970,31,6
Žarko Čabarkapa,Žarko Čabarkapa,2004,2006,F,11-Jun,235,5/21/1981,21/5/1981,1981,25,,https://www.basketball-reference.com/players/c/cabarza01.html,cabarza01,1981,25,2
Žarko Paspalj,Žarko Paspalj,1990,1990,F,9-Jun,215,3/27/1966,27/3/1966,1966,24,,https://www.basketball-reference.com/players/p/paspaza01.html,paspaza01,1966,24,0
Robert Parish*,Robert Parish,1977,1997,C,1-Jul,230,8/30/1953,30/8/1953,1953,44,Centenary (LA),https://www.basketball-reference.com/players/p/parisro01.html,parisro01,1953,44,20
Aaron Brooks,Aaron Brooks,2008,2018,G,Jun-00,161,1/14/1985,14/1/1985,1985,33,Oregon,https://www.basketball-reference.com/players/b/brookaa01.html,brookaa01,1985,33,10
Aaron Gordon,Aaron Gordon,2015,2025,F,8-Jun,235,9/16/1995,16/9/1995,1995,30,Arizona,https://www.basketball-reference.com/players/g/gordoaa01.html,gordoaa01,1995,30,10
Aaron Gray,Aaron Gray,2008,2014,C,Jul-00,270,12/7/1984,7/12/1984,1984,30,Pitt,https://www.basketball-reference.com/players/g/grayaa01.html,grayaa01,1984,30,6
Aaron Harrison,Aaron Harrison,2016,2018,G,6-Jun,210,10/28/1994,28/10/1994,1994,24,Kentucky,https://www.basketball-reference.com/players/h/harriaa01.html,harriaa01,1994,24,2
Aaron Henry,Aaron Henry,2022,2022,F,6-Jun,210,8/30/1999,30/8/1999,1999,23,Michigan State,https://www.basketball-reference.com/players/h/henryaa01.html,henryaa01,1999,23,0
Aaron Holiday,Aaron Holiday,2019,2025,G,Jun-00,185,9/30/1996,30/9/1996,1996,29,UCLA,https://www.basketball-reference.com/players/h/holidaa01.html,holidaa01,1996,29,6
Aaron Jackson,Aaron Jackson,2018,2018,G,4-Jun,185,5/6/1986,6/5/1986,1986,32,Duquesne,https://www.basketball-reference.com/players/j/jacksaa01.html,jacksaa01,1986,32,0
Aaron James,Aaron James,1975,1979,F,8-Jun,210,10/5/1952,5/10/1952,1952,27,Grambling State University,https://www.basketball-reference.com/players/j/jamesaa01.html,jamesaa01,1952,27,4
Dikembe Mutombo*,Dikembe Mutombo,1992,2009,C,2-Jul,245,6/25/1966,25/6/1966,1966,43,Georgetown,https://www.basketball-reference.com/players/m/mutomdi01.html,mutomdi01,1966,43,17
Aaron Miles,Aaron Miles,2006,2006,G,1-Jun,175,4/13/1983,13/4/1983,1983,23,Kansas,https://www.basketball-reference.com/players/m/milesaa01.html,milesaa01,1983,23,0
Aaron Nesmith,Aaron Nesmith,2021,2025,G-F,5-Jun,215,10/16/1999,16/10/1999,1999,26,Vanderbilt,https://www.basketball-reference.com/players/n/nesmiaa01.html,nesmiaa01,1999,26,4
Aaron Swinson,Aaron Swinson,1995,1995,F,5-Jun,230,1/9/1971,9/1/1971,1971,24,Auburn,https://www.basketball-reference.com/players/s/swinsaa01.html,swinsaa01,1971,24,0
Aaron Wiggins,Aaron Wiggins,2022,2025,G,6-Jun,200,1/2/1999,2/1/1999,1999,26,Maryland,https://www.basketball-reference.com/players/w/wiggiaa01.html,wiggiaa01,1999,26,3
Udonis Haslem,Udonis Haslem,2004,2023,F-C,8-Jun,235,6/9/1980,9/6/1980,1980,43,Florida,https://www.basketball-reference.com/players/h/hasleud01.html,hasleud01,1980,43,19
Abdel Nader,Abdel Nader,2018,2022,F,5-Jun,225,9/25/1993,25/9/1993,1993,29,"Northern Illinois, Iowa State",https://www.basketball-reference.com/players/n/naderab01.html,naderab01,1993,29,4
Abdul Jeelani,Abdul Jeelani,1980,1981,F-C,8-Jun,210,2/10/1954,10/2/1954,1954,27,University of Wisconsin-Parkside,https://www.basketball-reference.com/players/j/jeelaab01.html,jeelaab01,1954,27,1
Acie Earl,Acie Earl,1994,1997,F-C,10-Jun,240,6/23/1970,23/6/1970,1970,27,Iowa,https://www.basketball-reference.com/players/e/earlac01.html,earlac01,1970,27,3
Acie Law,Acie Law,2008,2011,G,3-Jun,195,1/25/1985,25/1/1985,1985,26,Texas A&M,https://www.basketball-reference.com/players/l/lawac01.html,lawac01,1985,26,3
Adam Flagler,Adam Flagler,2024,2025,G,3-Jun,195,12/1/1999,1/12/1999,1999,26,"Presbyterian College, Baylor",https://www.basketball-reference.com/players/f/flaglad01.html,flaglad01,1999,26,1
Adam Harrington,Adam Harrington,2003,2003,G,5-Jun,200,7/5/1980,5/7/1980,1980,23,"NC State, Auburn",https://www.basketball-reference.com/players/h/harriad01.html,harriad01,1980,23,0
Adam Keefe,Adam Keefe,1993,2001,F,9-Jun,230,2/22/1970,22/2/1970,1970,31,Stanford,https://www.basketball-reference.com/players/k/keefead01.html,keefead01,1970,31,8
Adam Mokoka,Adam Mokoka,2020,2021,G,4-Jun,190,7/18/1998,18/7/1998,1998,23,,https://www.basketball-reference.com/players/m/mokokad01.html,mokokad01,1998,23,1
Adam Morrison,Adam Morrison,2007,2010,F,8-Jun,205,7/19/1984,19/7/1984,1984,26,Gonzaga,https://www.basketball-reference.com/players/m/morriad01.html,morriad01,1984,26,3
Adama Sanogo,Adama Sanogo,2024,2025,F,9-Jun,245,2/12/2002,12/2/2002,2002,23,UConn,https://www.basketball-reference.com/players/s/sanogad01.html,sanogad01,2002,23,1
Ade Murkey,Ade Murkey,2022,2022,G,5-Jun,200,1/29/1998,29/1/1998,1998,24,Denver,https://www.basketball-reference.com/players/m/murkead01.html,murkead01,1998,24,0
Adem Bona,Adem Bona,2025,2025,F-C,10-Jun,235,3/28/2003,28/3/2003,2003,22,UCLA,https://www.basketball-reference.com/players/b/bonaad01.html,bonaad01,2003,22,0
Admiral Schofield,Admiral Schofield,2020,2024,G-F,5-Jun,241,3/30/1997,30/3/1997,1997,27,Tennessee,https://www.basketball-reference.com/players/s/schofad01.html,schofad01,1997,27,4
Vince Carter*,Vince Carter,1999,2020,G-F,6-Jun,220,1/26/1977,26/1/1977,1977,43,UNC,https://www.basketball-reference.com/players/c/cartevi01.html,cartevi01,1977,43,21
Adonis Jordan,Adonis Jordan,1994,1999,G,11-May,170,8/21/1970,21/8/1970,1970,29,Kansas,https://www.basketball-reference.com/players/j/jordaad01.html,jordaad01,1970,29,5
Adonis Thomas,Adonis Thomas,2014,2014,F,7-Jun,200,3/25/1993,25/3/1993,1993,21,Memphis,https://www.basketball-reference.com/players/t/thomaad01.html,thomaad01,1993,21,0
Adreian Payne,Adreian Payne,2015,2018,F-C,10-Jun,237,2/19/1991,19/2/1991,1991,27,Michigan State,https://www.basketball-reference.com/players/p/paynead01.html,paynead01,1991,27,3
Adrian Branch,Adrian Branch,1987,1990,F-G,7-Jun,185,11/17/1963,17/11/1963,1963,27,Maryland,https://www.basketball-reference.com/players/b/brancad01.html,brancad01,1963,27,3
Adrian Caldwell,Adrian Caldwell,1990,1998,F-C,8-Jun,265,7/4/1966,4/7/1966,1966,32,"SMU, Lamar",https://www.basketball-reference.com/players/c/caldwad01.html,caldwad01,1966,32,8
Bob Cousy*,Bob Cousy,1951,1970,G,1-Jun,175,8/9/1928,9/8/1928,1928,42,Holy Cross,https://www.basketball-reference.com/players/c/cousybo01.html,cousybo01,1928,42,19
Kareem Abdul-Jabbar*,Kareem Abdul-Jabbar,1970,1989,C,2-Jul,225,4/16/1947,16/4/1947,1947,42,UCLA,https://www.basketball-reference.com/players/a/abdulka01.html,abdulka01,1947,42,19
Charles Jones,Charles Jones,1984,1998,F-C,9-Jun,215,4/3/1957,3/4/1957,1957,41,Albany State University,https://www.basketball-reference.com/players/j/jonesch01.html,jonesch01,1957,41,14
Ahmad Caver,Ahmad Caver,2022,2022,G,2-Jun,175,9/12/1996,12/9/1996,1996,26,Old Dominion,https://www.basketball-reference.com/players/c/caverah01.html,caverah01,1996,26,0
AJ Griffin,AJ Griffin,2023,2024,F,6-Jun,222,8/25/2003,25/8/2003,2003,21,Duke,https://www.basketball-reference.com/players/g/griffaj01.html,griffaj01,2003,21,1
AJ Johnson,AJ Johnson,2025,2025,G,4-Jun,160,12/1/2004,1/12/2004,2004,21,,https://www.basketball-reference.com/players/j/johnsaj01.html,johnsaj01,2004,21,0
Ajay Mitchell,Ajay Mitchell,2025,2025,G,5-Jun,200,6/25/2002,25/6/2002,2002,23,UC Santa Barbara,https://www.basketball-reference.com/players/m/mitchaj01.html,mitchaj01,2002,23,0
Charles Oakley,Charles Oakley,1986,2004,F-C,9-Jun,225,12/18/1963,18/12/1963,1963,41,Virginia Union University,https://www.basketball-reference.com/players/o/oaklech01.html,oaklech01,1963,41,18
Al Beard,Al Beard,1968,1968,C,9-Jun,200,4/27/1942,27/4/1942,1942,26,Norfolk State,https://www.basketball-reference.com/players/b/beardal01.html,beardal01,1942,26,0
Clifford Robinson,Clifford Robinson,1990,2007,F-C,10-Jun,225,12/16/1966,16/12/1966,1966,41,UConn,https://www.basketball-reference.com/players/r/robincl02.html,robincl02,1966,41,17
Al Brightman,Al Brightman,1947,1947,F,2-Jun,195,9/22/1923,22/9/1923,1923,24,University of Charleston,https://www.basketball-reference.com/players/b/brighal01.html,brighal01,1923,24,0
Al Butler,Al Butler,1962,1965,G,2-Jun,175,7/9/1938,9/7/1938,1938,27,Niagara University,https://www.basketball-reference.com/players/b/butleal01.html,butleal01,1938,27,3
Al Carlson,Al Carlson,1976,1976,C,11-Jun,235,9/17/1951,17/9/1951,1951,25,Oregon,https://www.basketball-reference.com/players/c/carlsal01.html,carlsal01,1951,25,0
Dirk Nowitzki*,Dirk Nowitzki,1999,2019,F-C,Jul-00,245,6/19/1978,19/6/1978,1978,41,,https://www.basketball-reference.com/players/n/nowitdi01.html,nowitdi01,1978,41,20
Al Cueto,Al Cueto,1970,1971,C-F,7-Jun,230,8/2/1946,2/8/1946,1946,25,"St. Gregory's University, Tulsa",https://www.basketball-reference.com/players/c/cuetoal01.html,cuetoal01,1946,25,1
Al Eberhard,Al Eberhard,1975,1978,F,6-Jun,225,5/10/1952,10/5/1952,1952,26,Missouri,https://www.basketball-reference.com/players/e/eberhal01.html,eberhal01,1952,26,3
Al Ferrari,Al Ferrari,1956,1963,G-F,4-Jun,190,7/6/1933,6/7/1933,1933,30,Michigan State,https://www.basketball-reference.com/players/f/ferraal01.html,ferraal01,1933,30,7
Al Fleming,Al Fleming,1978,1978,F,7-Jun,215,4/5/1954,5/4/1954,1954,24,Arizona,https://www.basketball-reference.com/players/f/flemial01.html,flemial01,1954,24,0
Al Guokas,Al Guokas,1950,1950,F-G,5-Jun,200,8/7/1925,7/8/1925,1925,25,Saint Joseph's,https://www.basketball-reference.com/players/g/guokaal01.html,guokaal01,1925,25,0
Al Hairston,Al Hairston,1969,1970,G,1-Jun,170,12/11/1945,11/12/1945,1945,25,Bowling Green,https://www.basketball-reference.com/players/h/hairsal01.html,hairsal01,1945,25,1
Grant Hill*,Grant Hill,1995,2013,F-G,8-Jun,225,10/5/1972,5/10/1972,1972,41,Duke,https://www.basketball-reference.com/players/h/hillgr01.html,hillgr01,1972,41,18
Al Henry,Al Henry,1971,1972,C,9-Jun,190,2/9/1949,9/2/1949,1949,23,Wisconsin,https://www.basketball-reference.com/players/h/henryal01.html,henryal01,1949,23,1
Herb Williams,Herb Williams,1982,1999,C-F,10-Jun,242,2/16/1958,16/2/1958,1958,41,Ohio State,https://www.basketball-reference.com/players/w/willihe01.html,willihe01,1958,41,17
Al Jackson,Al Jackson,1968,1968,G,1-Jun,185,7/29/1943,29/7/1943,1943,25,Wilberforce University,https://www.basketball-reference.com/players/j/jacksal01.html,jacksal01,1943,25,0
Al Jefferson,Al Jefferson,2005,2018,C-F,10-Jun,289,1/4/1985,4/1/1985,1985,33,,https://www.basketball-reference.com/players/j/jeffeal01.html,jeffeal01,1985,33,13
Al Lucas,Al Lucas,1949,1949,F-G,3-Jun,195,7/4/1922,4/7/1922,1922,27,Fordham,https://www.basketball-reference.com/players/l/lucasal01.html,lucasal01,1922,27,0
Al Lujack,Al Lujack,1947,1947,F,3-Jun,220,10/5/1920,5/10/1920,1920,27,Georgetown,https://www.basketball-reference.com/players/l/lujacal01.html,lujacal01,1920,27,0
Al Masino,Al Masino,1953,1954,G,10-May,174,2/5/1928,5/2/1928,1928,26,Canisius,https://www.basketball-reference.com/players/m/masinal01.html,masinal01,1928,26,1
Al McGuire*,Al McGuire,1952,1955,G-F,2-Jun,180,9/7/1928,7/9/1928,1928,27,St. John's,https://www.basketball-reference.com/players/m/mcguial01.html,mcguial01,1928,27,3
Al Miksis,Al Miksis,1950,1950,C,7-Jun,210,2/2/1928,2/2/1928,1928,22,Western Illinois University,https://www.basketball-reference.com/players/m/miksial01.html,miksial01,1928,22,0
Al Negratti,Al Negratti,1947,1947,F-C,3-Jun,200,6/12/1921,12/6/1921,1921,26,Seton Hall,https://www.basketball-reference.com/players/n/negraal01.html,negraal01,1921,26,0
Al Roges,Al Roges,1954,1955,G-F,4-Jun,195,10/25/1930,25/10/1930,1930,25,Long Island University,https://www.basketball-reference.com/players/r/rogesal01.html,rogesal01,1930,25,1
Al Salvadori,Al Salvadori,1968,1968,F,9-Jun,220,5/6/1945,6/5/1945,1945,23,South Carolina,https://www.basketball-reference.com/players/s/salvaal01.html,salvaal01,1945,23,0
Al Sanders,Al Sanders,1973,1973,F,7-Jun,240,1/1/1950,1/1/1950,1950,23,LSU,https://www.basketball-reference.com/players/s/sandeal01.html,sandeal01,1950,23,0
Al Skinner,Al Skinner,1975,1980,G,3-Jun,190,6/16/1952,16/6/1952,1952,28,UMass,https://www.basketball-reference.com/players/s/skinnal01.html,skinnal01,1952,28,5
