Player Name,Clean Name,From,To,Pos,Ht,Wt,Birth Date,Birth Date(TextToColumn),Birth_Year,RetireAge,Colleges,URL,player_id,birthday year,retire age,career length
Šarūnas Marčiulionis*,Šarūnas Marčiulionis,1990,1997,G,5-Jun,200.0,6/13/1964,13/6/1964,1964,33.0,,https://www.basketball-reference.com/players/m/marcisa01.html,marcisa01,1964.0,33,7
Kevin Willis,Kevin Willis,1985,2007,F-C,Jul-00,220.0,9/6/1962,6/9/1962,1962,45.0,Michigan State,https://www.basketball-reference.com/players/w/willike02.html,willike02,1962.0,45,22
Žan Tabak,Žan Tabak,1995,2001,C,Jul-00,245.0,6/15/1970,15/6/1970,1970,31.0,,https://www.basketball-reference.com/players/t/tabakza01.html,tabakza01,1970.0,31,6
Robert Parish*,Robert Parish,1977,1997,C,1-Jul,230.0,8/30/1953,30/8/1953,1953,44.0,Centenary (LA),https://www.basketball-reference.com/players/p/parisro01.html,parisro01,1953.0,44,20
Aaron Brooks,Aaron Brooks,2008,2018,G,Jun-00,161.0,1/14/1985,14/1/1985,1985,33.0,Oregon,https://www.basketball-reference.com/players/b/brookaa01.html,brookaa01,1985.0,33,10
Aaron Gordon,Aaron Gordon,2015,2025,F,8-Jun,235.0,9/16/1995,16/9/1995,1995,30.0,Arizona,https://www.basketball-reference.com/players/g/gordoaa01.html,gordoaa01,1995.0,30,10
Aaron Gray,Aaron Gray,2008,2014,C,Jul-00,270.0,12/7/1984,7/12/1984,1984,30.0,Pitt,https://www.basketball-reference.com/players/g/grayaa01.html,grayaa01,1984.0,30,6
Dikembe Mutombo*,Dikembe Mutombo,1992,2009,C,2-Jul,245.0,6/25/1966,25/6/1966,1966,43.0,Georgetown,https://www.basketball-reference.com/players/m/mutomdi01.html,mutomdi01,1966.0,43,17
Udonis Haslem,Udonis Haslem,2004,2023,F-C,8-Jun,235.0,6/9/1980,9/6/1980,1980,43.0,Florida,https://www.basketball-reference.com/players/h/hasleud01.html,hasleud01,1980.0,43,19
Adam Keefe,Adam Keefe,1993,2001,F,9-Jun,230.0,2/22/1970,22/2/1970,1970,31.0,Stanford,https://www.basketball-reference.com/players/k/keefead01.html,keefead01,1970.0,31,8
Vince Carter*,Vince Carter,1999,2020,G-F,6-Jun,220.0,1/26/1977,26/1/1977,1977,43.0,UNC,https://www.basketball-reference.com/players/c/cartevi01.html,cartevi01,1977.0,43,21
Adrian Caldwell,Adrian Caldwell,1990,1998,F-C,8-Jun,265.0,7/4/1966,4/7/1966,1966,32.0,"SMU, Lamar",https://www.basketball-reference.com/players/c/caldwad01.html,caldwad01,1966.0,32,8
Bob Cousy*,Bob Cousy,1951,1970,G,1-Jun,175.0,8/9/1928,9/8/1928,1928,42.0,Holy Cross,https://www.basketball-reference.com/players/c/cousybo01.html,cousybo01,1928.0,42,19
Kareem Abdul-Jabbar*,Kareem Abdul-Jabbar,1970,1989,C,2-Jul,225.0,4/16/1947,16/4/1947,1947,42.0,UCLA,https://www.basketball-reference.com/players/a/abdulka01.html,abdulka01,1947.0,42,19
Charles Jones,Charles Jones,1984,1998,F-C,9-Jun,215.0,4/3/1957,3/4/1957,1957,41.0,Albany State University,https://www.basketball-reference.com/players/j/jonesch01.html,jonesch01,1957.0,41,14
Charles Oakley,Charles Oakley,1986,2004,F-C,9-Jun,225.0,12/18/1963,18/12/1963,1963,41.0,Virginia Union University,https://www.basketball-reference.com/players/o/oaklech01.html,oaklech01,1963.0,41,18
Clifford Robinson,Clifford Robinson,1990,2007,F-C,10-Jun,225.0,12/16/1966,16/12/1966,1966,41.0,UConn,https://www.basketball-reference.com/players/r/robincl02.html,robincl02,1966.0,41,17
Dirk Nowitzki*,Dirk Nowitzki,1999,2019,F-C,Jul-00,245.0,6/19/1978,19/6/1978,1978,41.0,,https://www.basketball-reference.com/players/n/nowitdi01.html,nowitdi01,1978.0,41,20
Al Ferrari,Al Ferrari,1956,1963,G-F,4-Jun,190.0,7/6/1933,6/7/1933,1933,30.0,Michigan State,https://www.basketball-reference.com/players/f/ferraal01.html,ferraal01,1933.0,30,7
Grant Hill*,Grant Hill,1995,2013,F-G,8-Jun,225.0,10/5/1972,5/10/1972,1972,41.0,Duke,https://www.basketball-reference.com/players/h/hillgr01.html,hillgr01,1972.0,41,18
Herb Williams,Herb Williams,1982,1999,C-F,10-Jun,242.0,2/16/1958,16/2/1958,1958,41.0,Ohio State,https://www.basketball-reference.com/players/w/willihe01.html,willihe01,1958.0,41,17
Al Jefferson,Al Jefferson,2005,2018,C-F,10-Jun,289.0,1/4/1985,4/1/1985,1985,33.0,,https://www.basketball-reference.com/players/j/jeffeal01.html,jeffeal01,1985.0,33,13
James Edwards,James Edwards,1978,1996,C-F,Jul-00,225.0,11/22/1955,22/11/1955,1955,41.0,Washington,https://www.basketball-reference.com/players/e/edwarja01.html,edwarja01,1955.0,41,18
Jason Terry,Jason Terry,2000,2018,G,2-Jun,185.0,9/15/1977,15/9/1977,1977,41.0,Arizona,https://www.basketball-reference.com/players/t/terryja01.html,terryja01,1977.0,41,18
Albert King,Albert King,1982,1992,F-G,6-Jun,190.0,12/17/1959,17/12/1959,1959,33.0,Maryland,https://www.basketball-reference.com/players/k/kingal01.html,kingal01,1959.0,33,10
Joe Johnson,Joe Johnson,2002,2022,G-F,7-Jun,240.0,6/29/1981,29/6/1981,1981,41.0,Arkansas,https://www.basketball-reference.com/players/j/johnsjo02.html,johnsjo02,1981.0,41,20
Alex Caruso,Alex Caruso,2018,2025,G,5-Jun,186.0,2/28/1994,28/2/1994,1994,31.0,Texas A&M,https://www.basketball-reference.com/players/c/carusal01.html,carusal01,1994.0,31,7
John Long,John Long,1979,1997,G-F,5-Jun,195.0,8/28/1956,28/8/1956,1956,41.0,Detroit Mercy,https://www.basketball-reference.com/players/l/longjo01.html,longjo01,1956.0,41,18
John Stockton*,John Stockton,1985,2003,G,1-Jun,170.0,3/26/1962,26/3/1962,1962,41.0,Gonzaga,https://www.basketball-reference.com/players/s/stockjo01.html,stockjo01,1962.0,41,18
Alex Len,Alex Len,2014,2025,C,Jul-00,250.0,6/16/1993,16/6/1993,1993,32.0,Maryland,https://www.basketball-reference.com/players/l/lenal01.html,lenal01,1993.0,32,11
Alex Stivrins,Alex Stivrins,1986,1993,F,8-Jun,220.0,11/29/1962,29/11/1962,1962,31.0,"Creighton, Colorado",https://www.basketball-reference.com/players/s/stivral01.html,stivral01,1962.0,31,7
Al-Farouq Aminu,Al-Farouq Aminu,2011,2021,F,8-Jun,220.0,9/21/1990,21/9/1990,1990,31.0,Wake Forest,https://www.basketball-reference.com/players/a/aminual01.html,aminual01,1990.0,31,10
Alfonzo McKinnie,Alfonzo McKinnie,2018,2022,F,7-Jun,215.0,9/17/1992,17/9/1992,1992,30.0,Green Bay,https://www.basketball-reference.com/players/m/mckinal01.html,mckinal01,1992.0,30,4
Allan Bristow,Allan Bristow,1974,1983,F-G,7-Jun,210.0,8/23/1951,23/8/1951,1951,32.0,Virginia Tech,https://www.basketball-reference.com/players/b/bristal01.html,bristal01,1951.0,32,9
Karl Malone*,Karl Malone,1986,2004,F,9-Jun,250.0,7/24/1963,24/7/1963,1963,41.0,Louisiana Tech,https://www.basketball-reference.com/players/m/malonka01.html,malonka01,1963.0,41,18
Kurt Thomas,Kurt Thomas,1996,2013,F,9-Jun,230.0,10/4/1972,4/10/1972,1972,41.0,TCU,https://www.basketball-reference.com/players/t/thomaku01.html,thomaku01,1972.0,41,17
