Player Name,Clean Name,From,To,Pos,Ht,Wt,Birth Date,Birth Date(TextToColumn),Birth_Year,RetireAge,Colleges,URL,player_id,birthday year,retire age,career length,Unnamed: 17,personId
AJ Price,AJ Price,2010,2015,G,2-Jun,181,10/7/1986,7/10/1986,1986,29,UConn,https://www.basketball-reference.com/players/p/priceaj01.html,priceaj01,1986,29,5,,201985
Aaron Holiday,Aaron Holiday,2019,2025,G,Jun-00,185,9/30/1996,30/9/1996,1996,29,UCLA,https://www.basketball-reference.com/players/h/holidaa01.html,holidaa01,1996,29,6,,1628988
Aaron James,Aaron James,1975,1979,F,8-Jun,210,10/5/1952,5/10/1952,1952,27,Grambling State University,https://www.basketball-reference.com/players/j/jamesaa01.html,jamesaa01,1952,27,4,,77115
Aaron Nesmith,Aaron Nesmith,2021,2025,G-F,5-Jun,215,10/16/1999,16/10/1999,1999,26,Vanderbilt,https://www.basketball-reference.com/players/n/nesmiaa01.html,nesmiaa01,1999,26,4,,1630174
Aaron Wiggins,Aaron Wiggins,2022,2025,G,6-Jun,200,1/2/1999,2/1/1999,1999,26,Maryland,https://www.basketball-reference.com/players/w/wiggiaa01.html,wiggiaa01,1999,26,3,,1630598
Abdel Nader,Abdel Nader,2018,2022,F,5-Jun,225,9/25/1993,25/9/1993,1993,29,"Northern Illinois, Iowa State",https://www.basketball-reference.com/players/n/naderab01.html,naderab01,1993,29,4,,1627846
Acie Earl,Acie Earl,1994,1997,F-C,10-Jun,240,6/23/1970,23/6/1970,1970,27,Iowa,https://www.basketball-reference.com/players/e/earlac01.html,earlac01,1970,27,3,,768
Acie Law,Acie Law,2008,2011,G,3-Jun,195,1/25/1985,25/1/1985,1985,26,Texas A&M,https://www.basketball-reference.com/players/l/lawac01.html,lawac01,1985,26,3,,201151
Adam Morrison,Adam Morrison,2007,2010,F,8-Jun,205,7/19/1984,19/7/1984,1984,26,Gonzaga,https://www.basketball-reference.com/players/m/morriad01.html,morriad01,1984,26,3,,200747
Admiral Schofield,Admiral Schofield,2020,2024,G-F,5-Jun,241,3/30/1997,30/3/1997,1997,27,Tennessee,https://www.basketball-reference.com/players/s/schofad01.html,schofad01,1997,27,4,,1629678
Adonis Jordan,Adonis Jordan,1994,1999,G,11-May,170,8/21/1970,21/8/1970,1970,29,Kansas,https://www.basketball-reference.com/players/j/jordaad01.html,jordaad01,1970,29,5,,1817
Adreian Payne,Adreian Payne,2015,2018,F-C,10-Jun,237,2/19/1991,19/2/1991,1991,27,Michigan State,https://www.basketball-reference.com/players/p/paynead01.html,paynead01,1991,27,3,,203940
Adrian Branch,Adrian Branch,1987,1990,F-G,7-Jun,185,11/17/1963,17/11/1963,1963,27,Maryland,https://www.basketball-reference.com/players/b/brancad01.html,brancad01,1963,27,3,,76237
Al Butler,Al Butler,1962,1965,G,2-Jun,175,7/9/1938,9/7/1938,1938,27,Niagara University,https://www.basketball-reference.com/players/b/butleal01.html,butleal01,1938,27,3,,76319
Al Eberhard,Al Eberhard,1975,1978,F,6-Jun,225,5/10/1952,10/5/1952,1952,26,Missouri,https://www.basketball-reference.com/players/e/eberhal01.html,eberhal01,1952,26,3,,76634
